Sample_ID,Date_collected,Site,Lab_sample,Date_read,P. marinus,Haplosporidium,Nematopsis,General ciliates,Notes
0723FENC_01,7/12/2023,FENC,1,,1,0,TRUE,FALSE,
0723FENC_02,7/12/2023,FENC,2,,0.5,0,TRUE,FALSE,no gill top msx detection
0723FENC_03,7/12/2023,FENC,3,,3,0,TRUE,FALSE,"little gill, prokaryotic inclusions"
0723FENC_04,7/12/2023,FENC,4,,3,0,TRUE,FALSE,
0723FENC_05,7/12/2023,FENC,5,,0,0,TRUE,FALSE,
0723FENC_06,7/12/2023,FENC,6,,0,0,TRUE,FALSE,
0723FENC_07,7/12/2023,FENC,7,,0,0,TRUE,FALSE,
0723FENC_08,7/12/2023,FENC,8,,0.5,0,TRUE,FALSE,
0723FENC_09,7/12/2023,FENC,9,,3,0,TRUE,FALSE,
0723FENC_10,7/12/2023,FENC,10,,0.5,0,TRUE,FALSE,
0723FENC_11,7/12/2023,FENC,11,,0,0,TRUE,TRUE,
0723FENC_12,7/12/2023,FENC,12,,3,0,TRUE,FALSE,
0723FENC_13,7/12/2023,FENC,13,,0,0,TRUE,FALSE,
0723FENC_14,7/12/2023,FENC,14,,0,0,TRUE,TRUE,
0723FENC_15,7/12/2023,FENC,15,,0,0,TRUE,TRUE,
0723FENC_16,7/12/2023,FENC,16,,3,0,TRUE,FALSE,"giant damaged egg, elevated ceroid/hemocytes"
0723FENC_17,7/12/2023,FENC,17,,3,0,TRUE,FALSE,little gill
0723FENC_18,7/12/2023,FENC,18,,0,0,TRUE,FALSE,
0723FENC_19,7/12/2023,FENC,19,,0.5,0,TRUE,FALSE,
0723FENC_20,7/12/2023,FENC,20,,0.5,1,TRUE,FALSE,
0723FENC_21,7/12/2023,FENC,21,,3,0,TRUE,FALSE,
0723FENC_22,7/12/2023,FENC,22,,3,0,TRUE,FALSE,
0723FENC_23,7/12/2023,FENC,23,,0.5,0,TRUE,FALSE,prokaryotic inclusions
0723FENC_24,7/12/2023,FENC,24,,0,0,TRUE,FALSE,viral gametocytic hypertrophy
0723FENC_25,7/12/2023,FENC,25,,0,0,TRUE,FALSE,viral gametocytic hypertrophy
0723FENC_26,7/12/2023,FENC,26,,2,0,TRUE,FALSE,
0723FENC_27,7/12/2023,FENC,27,,0.5,0,TRUE,TRUE,
0723FENC_28,7/12/2023,FENC,28,,3,0,TRUE,FALSE,nematode
0723FENC_29,7/12/2023,FENC,29,,0.5,0,TRUE,FALSE,
0723FENC_30,7/12/2023,FENC,30,,0.5,0,TRUE,FALSE,
