"Sample_ID","Date_collected","Site","Lab_sample","Date_read1","pmarinus","haplo","Nematopsis1","General ciliates1","Notes","Date_read","Reader_1","Duplicate_read","Date_read2","P. marinus2","Haplosporidium2","Nematopsis2","General_ciliates2","Notes2","Reader_2","General_ciliates1","Notes1","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32"
"0723FENC_01",2023-07-12,"FENC",1,NA,1,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_02",2023-07-12,"FENC",2,NA,0.5,0,TRUE,FALSE,"no gill top msx detection",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_03",2023-07-12,"FENC",3,NA,3,0,TRUE,FALSE,"little gill, prokaryotic inclusions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_04",2023-07-12,"FENC",4,NA,3,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_05",2023-07-12,"FENC",5,NA,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_06",2023-07-12,"FENC",6,NA,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_07",2023-07-12,"FENC",7,NA,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_08",2023-07-12,"FENC",8,NA,0.5,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_09",2023-07-12,"FENC",9,NA,3,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_10",2023-07-12,"FENC",10,NA,0.5,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_11",2023-07-12,"FENC",11,NA,0,0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_12",2023-07-12,"FENC",12,NA,3,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_13",2023-07-12,"FENC",13,NA,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_14",2023-07-12,"FENC",14,NA,0,0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_15",2023-07-12,"FENC",15,NA,0,0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_16",2023-07-12,"FENC",16,NA,3,0,TRUE,FALSE,"giant damaged egg, elevated ceroid/hemocytes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_17",2023-07-12,"FENC",17,NA,3,0,TRUE,FALSE,"little gill",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_18",2023-07-12,"FENC",18,NA,0,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_19",2023-07-12,"FENC",19,NA,0.5,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_20",2023-07-12,"FENC",20,NA,0.5,1,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_21",2023-07-12,"FENC",21,NA,3,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_22",2023-07-12,"FENC",22,NA,3,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_23",2023-07-12,"FENC",23,NA,0.5,0,TRUE,FALSE,"prokaryotic inclusions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_24",2023-07-12,"FENC",24,NA,0,0,TRUE,FALSE,"viral gametocytic hypertrophy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_25",2023-07-12,"FENC",25,NA,0,0,TRUE,FALSE,"viral gametocytic hypertrophy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_26",2023-07-12,"FENC",26,NA,2,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_27",2023-07-12,"FENC",27,NA,0.5,0,TRUE,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_28",2023-07-12,"FENC",28,NA,3,0,TRUE,FALSE,"nematode",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_29",2023-07-12,"FENC",29,NA,0.5,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0723FENC_30",2023-07-12,"FENC",30,NA,0.5,0,TRUE,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0724ASHC_01",2023-07-12,"ASHC",1,NA,0,0,TRUE,FALSE,NA,"1/28/2026","LMB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0724ASHC_02",2023-07-12,"ASHC",2,NA,3,0,TRUE,FALSE,NA,"1/28/2026","KJL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0724ASHC_03",2023-07-12,"ASHC",3,NA,3,0,TRUE,TRUE,"Spheno","1/28/2026","SND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0724ASHC_04",2023-07-12,"ASHC",4,NA,3,0,TRUE,FALSE,NA,"1/28/2026","LMB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0724ASHC_05",2023-07-12,"ASHC",5,NA,3,0,FALSE,TRUE,"Spheno, prokaryotic inclusion","1/28/2026","LMB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0724ASHC_06",2023-07-12,"ASHC",6,NA,3,0,TRUE,FALSE,NA,"1/28/2026","MLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0724ASHC_07",2023-07-12,"ASHC",7,NA,0.5,0,TRUE,FALSE,"Prokaryotic inclusion","1/28/2026","KJL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0724ASHC_08",2023-07-12,"ASHC",8,NA,3,0,TRUE,TRUE,"Spheno, prokaryotic inclusion","1/28/2026","LMB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0724ASHC_09",2023-07-12,"ASHC",9,NA,1,0,TRUE,FALSE,NA,"1/28/2026","LMB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0724ASHC_10",2023-07-12,"ASHC",10,NA,3,0,TRUE,TRUE,"Spheno","1/28/2026","LMB",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0724ASHC_11",2023-07-12,"ASHC",11,NA,2,0,TRUE,FALSE,NA,"1/28/2026","KJL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0724ASHC_12",2023-07-12,"ASHC",12,NA,0.5,0,TRUE,TRUE,"Spheno","1/28/2026","SND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0724ASHC_13",2023-07-12,"ASHC",13,NA,0.5,0,TRUE,FALSE,NA,"1/28/2026","MLK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
