"","Date Time","Chlorophyll-a Fluorescence","pH","pH mV","ORP","Actual Conductivity","Specific Conductivity","Salinity","Resistivity","Density","Total Dissolved Solids","RDO Concentration","RDO Saturation","Oxygen Partial Pressure","Temperature","Site"
"1",2024-06-10 04:30:00,0.04761673,7.645488,-54.30937,109.22662,35781.96,42498.793,27.451061,27.947042,1.0197928,27.624216,5.8441887,70.45941,99.20925,16.725258,"FENC"
"2",2024-06-10 05:00:00,0.040778674,7.5434117,-48.425198,49.221436,35216.246,41900.656,27.01905,28.395985,1.0194794,27.235428,5.539305,66.507324,93.65334,16.647646,"FENC"
"3",2024-06-10 05:30:00,0.045271367,7.434119,-42.15002,11.472626,33608.473,39928.766,25.61788,29.754402,1.018393,25.9537,5.2251487,62.28458,87.70015,16.712605,"FENC"
"4",2024-06-10 06:00:00,0.042281177,7.293751,-34.098625,4.541794,30437.127,36008.277,22.862492,32.85461,1.0162466,23.40538,4.8899183,57.536472,80.99619,16.899548,"FENC"
"5",2024-06-10 06:30:00,0.04662257,7.1773567,-27.415752,15.659241,27533.098,32449.22,20.393702,36.319923,1.0143262,21.091993,4.49792,52.31487,73.63035,17.067957,"FENC"
"6",2024-06-10 07:00:00,0.040696073,7.1163344,-23.908615,29.129898,26420.645,31079.533,19.452787,37.84919,1.0135907,20.201696,4.2645965,49.4023,69.52388,17.151718,"FENC"
"7",2024-06-10 07:30:00,0.045557044,7.095212,-22.699833,28.705505,25840.518,30327.914,18.940207,38.698914,1.0131786,19.713144,4.2755437,49.47612,69.618996,17.25327,"FENC"
"8",2024-06-10 08:00:00,0.03943997,7.0657706,-21.016598,29.532822,25059.93,29291.414,18.236767,39.904343,1.0126035,19.03942,4.2742453,49.431522,69.540306,17.436567,"FENC"
"9",2024-06-10 08:30:00,0.041371156,7.0460076,-19.89603,41.644485,24414.682,28361.723,17.610872,40.95896,1.0120678,18.43512,4.400098,50.97516,71.68672,17.713722,"FENC"
"10",2024-06-10 09:00:00,0.038212277,7.052478,-20.287037,61.11136,24358.385,28138.936,17.465868,41.053627,1.0119032,18.290308,4.564959,53.102764,74.654564,17.96581,"FENC"
